,Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
55,Germany,DEU,CO2 emissions (kt),EN.ATM.CO2E.KT,830284.1,847678.2,833382.2,836794.5,821073.6,802383.2,814413.1,783803.0,789690.4,734805.5,773069.1,746477.3,760127.7,776151.8,736011.7,742314.4,747147.2,732204.2,707700.7,657401.0
56,Djibouti,DJI,CO2 emissions (kt),EN.ATM.CO2E.KT,372.4,375.7,398.9,413.3,395.0,428.9,432.6,469.9,474.0,465.0,518.4,475.2,495.8,562.79,404.77,464.85,416.95,416.92,403.32,420.02
57,Dominica,DMA,CO2 emissions (kt),EN.ATM.CO2E.KT,131.8,151.8,122.7,136.7,155.3,160.1,171.1,179.9,184.3,503.3,181.6,179.2,247.6,171.6,180.2,181.2,182.9,166.0,165.7,167.8
58,Denmark,DNK,CO2 emissions (kt),EN.ATM.CO2E.KT,52601.8,54245.2,53839.5,59233.8,53727.3,50201.7,58133.9,53411.3,50127.5,47933.4,48124.7,43097.9,38216.1,39960.6,35819.6,33695.4,35321.7,33132.2,33131.2,29696.2
59,Dominican Republic,DOM,CO2 emissions (kt),EN.ATM.CO2E.KT,18670.6,18983.7,20884.1,18725.2,17282.2,18690.8,20368.5,20626.8,20581.3,19657.2,20680.8,20913.9,21681.5,21287.2,21450.7,23590.5,24593.5,23551.3,25308.0,27233.3
60,Algeria,DZA,CO2 emissions (kt),EN.ATM.CO2E.KT,80047.6,78646.1,82404.8,88189.5,89493.3,94188.4,99809.3,102750.7,107746.2,112172.7,114179.9,120785.4,134934.9,139024.9,147736.1,156273.9,154906.2,158335.3,165539.0,171249.6
61,East Asia & Pacific (excluding high income),EAP,CO2 emissions (kt),EN.ATM.CO2E.KT,4137162.52,4361364.83,4672614.88,5333298.43,6100223.22,6832097.82,7473933.23,8068354.04,8305968.12,8812248.88,9648196.92,10510577.7,10805656.97,11254407.23,11353515.04,11270393.35,11308647.77,11613415.71,12156028.67,12491609.37
62,Early-demographic dividend,EAR,CO2 emissions (kt),EN.ATM.CO2E.KT,3868066.855,3962237.32,4083678.913,4251628.363,4480404.723,4671131.993,4925109.07,5219624.917,5419716.826,5581136.917,5856225.177,6082938.839,6383866.267,6456842.034,6785078.597,6845111.394,6951472.678,7225634.361,7394165.42,7441355.706
63,East Asia & Pacific,EAS,CO2 emissions (kt),EN.ATM.CO2E.KT,6192251.62,6427366.03,6773117.98,7443665.03,8239416.72,8972208.42,9605805.43,10261606.94,10448593.92,10913077.68,11848105.12,12791379.1,13129693.97,13580115.93,13613856.84,13519627.35,13561631.87,13873866.91,14377243.07,14658934.17
64,Europe & Central Asia (excluding high income),ECA,CO2 emissions (kt),EN.ATM.CO2E.KT,2577433.803,2565070.918,2598769.359,2707277.693,2706680.898,2723034.4,2834565.3,2891582.9,2930868.16,2703687.25,2840088.9,2997024.4,2961177.8,2910065.6,2818769.5,2746798.5,2778996.6,2839643.1,2920445.7,2936522.3
65,Europe & Central Asia,ECS,CO2 emissions (kt),EN.ATM.CO2E.KT,6506133.714,6563900.32,6575769.817,6786992.187,6793123.052,6786789.651,6907818.561,6907756.416,6857106.572,6337882.005,6577680.93,6592124.263,6523856.683,6389863.515,6108307.14,6078639.049,6102673.839,6166570.907,6178451.647,6045197.948
66,Ecuador,ECU,CO2 emissions (kt),EN.ATM.CO2E.KT,22051.3,24251.4,24172.2,24655.6,26177.5,28220.1,30126.1,30635.7,31687.8,34498.3,37253.8,37096.5,37085.1,39701.0,41801.1,41524.2,39808.5,38551.5,40138.6,39293.3
67,"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,114614.8,126704.8,129441.6,133020.7,144504.2,162217.5,170745.4,183396.0,189935.5,197660.8,200313.6,205767.6,215001.4,213856.9,219121.7,226277.5,231230.9,242225.4,247913.7,249367.1
68,Euro area,EMU,CO2 emissions (kt),EN.ATM.CO2E.KT,2632455.97,2679477.4,2684266.7,2741407.3,2754823.7,2746325.1,2730012.8,2692964.7,2635778.5,2438190.8,2501245.3,2411285.1,2381612.4,2332854.1,2208169.6,2256741.0,2255187.6,2258564.4,2201439.1,2092833.9
69,Eritrea,ERI,CO2 emissions (kt),EN.ATM.CO2E.KT,636.69,696.62,679.85,688.78,682.2,599.93,523.57,513.82,446.41,468.33,500.65,569.99,621.04,637.33,648.32,648.1,659.5,722.87,851.7,875.3
70,Spain,ESP,CO2 emissions (kt),EN.ATM.CO2E.KT,293314.3,294786.8,312753.3,318657.7,335560.3,350499.8,341776.3,354683.1,324274.2,287490.3,273254.2,274396.8,269265.6,242805.6,240960.8,256283.1,247033.3,263450.5,257042.8,239977.8
71,Estonia,EST,CO2 emissions (kt),EN.ATM.CO2E.KT,14916.5,15384.1,14952.7,16938.3,17023.1,17232.8,15983.9,19982.2,18398.1,15046.1,18997.0,18170.8,16886.7,19316.5,17939.4,15538.3,15990.5,16707.7,15324.3,10175.4
72,Ethiopia,ETH,CO2 emissions (kt),EN.ATM.CO2E.KT,3557.0,4401.3,4571.5,5022.4,5334.2,5049.5,5404.8,5963.5,6487.7,6534.5,6473.2,7539.3,8478.4,10081.0,12341.4,12892.5,14966.6,15818.2,17244.6,18359.3
